Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Cluster,PCA1,PCA2
196,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19.0,2005.0,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.3252173290192024,-1.216956596988066
197,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,21.0,2002.0,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.35,0.18,0.35,1,-1.7709669367756975,-2.325017109079089
198,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24.0,2000.0,32,31,2686,29.8,1,1,2,1,0,0,7,1,0.6,0.6,0.7,1.3,11,62,6,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04,2,-0.1582556102216793,2.8358703522072237
199,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35.0,1989.0,23,21,1472,16.4,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,8,83,14,0.06,0.0,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,2,-0.5030621806329109,1.4177908933221282
200,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23.0,2001.0,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.957353648206455,-0.622965111174703
201,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23.0,2001.0,32,30,2595,28.8,7,9,16,7,0,1,9,0,7.1,6.3,11.7,18.1,91,189,154,0.24,0.31,0.55,0.24,0.55,0.25,0.41,0.65,0.22,0.63,0,5.759070371949486,1.492587165709075
202,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18.0,2006.0,12,10,864,9.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,13,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1,-2.400176000407294,-0.12612736683123454
203,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18.0,2006.0,10,8,686,7.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,3,9,1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1,-2.5591128844785076,-0.34560612678455827
204,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,26.0,1997.0,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,2,1.0587810799965254,0.32371782643956526
205,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30.0,1994.0,12,8,617,6.9,0,0,0,0,0,0,2,1,0.3,0.3,0.0,0.3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,1,-2.3361568953473952,-0.12137352265874642
